000154 | mem   | pc=0070 acc=1           z=0 n=0 irq=0 | operand <- mem[0]
000155 | exec  | pc=0070 acc=0           z=1 n=0 irq=0 | acc -= mem[0]
000156 | fetch | pc=0071 acc=0           z=1 n=0 irq=0 | 0070: st 28
000157 | addr  | pc=0071 acc=0           z=1 n=0 irq=0 | data address <- 28
000158 | mem   | pc=0071 acc=0           z=1 n=0 irq=0 | mem[28] <- acc
000159 | fetch | pc=0072 acc=0           z=1 n=0 irq=0 | 0071: jmp 61
000160 | exec  | pc=0061 acc=0           z=1 n=0 irq=0 | pc <- 61
000161 | fetch | pc=0062 acc=0           z=1 n=0 irq=0 | 0061: ld 28
000162 | addr  | pc=0062 acc=0           z=1 n=0 irq=0 | data address <- 28
000163 | mem   | pc=0062 acc=0           z=1 n=0 irq=0 | acc <- mem[28]
000164 | fetch | pc=0063 acc=0           z=1 n=0 irq=0 | 0062: jz 72
000165 | exec  | pc=0072 acc=0           z=1 n=0 irq=0 | jz taken
000166 | fetch | pc=0073 acc=0           z=1 n=0 irq=0 | 0072: ret 0
000167 | exec  | pc=0022 acc=0           z=1 n=0 irq=0 | ret
000168 | fetch | pc=0023 acc=0           z=1 n=0 irq=0 | 0022: ld 25
000169 | addr  | pc=0023 acc=0           z=1 n=0 irq=0 | data address <- 25
000170 | mem   | pc=0023 acc=17          z=0 n=0 irq=0 | acc <- mem[25]
000171 | fetch | pc=0024 acc=17          z=0 n=0 irq=0 | 0023: add 0
000172 | mem   | pc=0024 acc=17          z=0 n=0 irq=0 | operand <- mem[0]
000173 | exec  | pc=0024 acc=18          z=0 n=0 irq=0 | acc += mem[0]
000174 | fetch | pc=0025 acc=18          z=0 n=0 irq=0 | 0024: st 25
000175 | addr  | pc=0025 acc=18          z=0 n=0 irq=0 | data address <- 25
000176 | mem   | pc=0025 acc=18          z=0 n=0 irq=0 | mem[25] <- acc
000177 | fetch | pc=0026 acc=18          z=0 n=0 irq=0 | 0025: ld 26
000178 | addr  | pc=0026 acc=18          z=0 n=0 irq=0 | data address <- 26
000179 | mem   | pc=0026 acc=4           z=0 n=0 irq=0 | acc <- mem[26]
000180 | fetch | pc=0027 acc=4           z=0 n=0 irq=0 | 0026: sub 0
000181 | mem   | pc=0027 acc=4           z=0 n=0 irq=0 | operand <- mem[0]
000182 | exec  | pc=0027 acc=3           z=0 n=0 irq=0 | acc -= mem[0]
000183 | fetch | pc=0028 acc=3           z=0 n=0 irq=0 | 0027: st 26
000184 | addr  | pc=0028 acc=3           z=0 n=0 irq=0 | data address <- 26
000185 | mem   | pc=0028 acc=3           z=0 n=0 irq=0 | mem[26] <- acc
000186 | fetch | pc=0029 acc=3           z=0 n=0 irq=0 | 0028: jz 32
000187 | exec  | pc=0029 acc=3           z=0 n=0 irq=0 | jz skip
000188 | fetch | pc=0030 acc=3           z=0 n=0 irq=0 | 0029: ld 3
000189 | addr  | pc=0030 acc=3           z=0 n=0 irq=0 | data address <- 3
000190 | mem   | pc=0030 acc=32          z=0 n=0 irq=0 | acc <- mem[3]
000191 | fetch | pc=0031 acc=32          z=0 n=0 irq=0 | 0030: st 65281
000192 | addr  | pc=0031 acc=32          z=0 n=0 irq=0 | data address <- 65281
000193 | mem   | pc=0031 acc=32          z=0 n=0 irq=0 | mem[65281] <- acc
000194 | fetch | pc=0032 acc=32          z=0 n=0 irq=0 | 0031: jmp 18
000195 | exec  | pc=0018 acc=32          z=0 n=0 irq=0 | pc <- 18
000196 | fetch | pc=0019 acc=32          z=0 n=0 irq=0 | 0018: ld 26
000197 | addr  | pc=0019 acc=32          z=0 n=0 irq=0 | data address <- 26
000198 | mem   | pc=0019 acc=3           z=0 n=0 irq=0 | acc <- mem[26]
000199 | fetch | pc=0020 acc=3           z=0 n=0 irq=0 | 0019: jz 35
000200 | exec  | pc=0020 acc=3           z=0 n=0 irq=0 | jz skip
000201 | fetch | pc=0021 acc=3           z=0 n=0 irq=0 | 0020: ldx 25
000202 | addr  | pc=0021 acc=3           z=0 n=0 irq=0 | ptr address <- 25
000203 | mem   | pc=0021 acc=3           z=0 n=0 irq=0 | address <- mem[25]
000204 | mem   | pc=0021 acc=8           z=0 n=0 irq=0 | acc <- mem[18]
000205 | fetch | pc=0022 acc=8           z=0 n=0 irq=0 | 0021: call 36
000206 | exec  | pc=0036 acc=8           z=0 n=0 irq=0 | call 36
